"ID товара";Артикул;Категория;"URL категории";Товар;Вариант;"Краткое описание";Описание;Цена;"Старая цена";"URL товара";Изображение;Количество;Активность;"Заголовок [SEO]";"Ключевые слова [SEO]";"Описание [SEO]";Рекомендуемый;Новый;Сортировка;Вес;"Связанные артикулы";"Смежные категории";"Ссылка на товар";Валюта;"Единицы измерения";"Длина   ";"Ширина   ";"Толщина   ";"Основная камера   ";"Частота кадров   ";"Разрешение видео   ";"Фронтальная камера   ";"Разрешение экрана   ";"Диагональ   ";"Тип экрана   ";"Оперативная память   ";"Количество ядер   ";"Емкость аккумулятора   ";"Процессор   ";"Поддержка MicroSD   ";"Количество SIM-карт   ";"Версия ОС   ";"Вес   ";"Максимальный объём памяти ";"Размеры ";"Вес [prop attr=42] ";"Тип батареи ";"Точность хода ";"Водонепроницаемость ";"Объём памяти [size]";"Цвет[prop attr=Смартфоны] [color]";"Цвет [color]";"Размер[prop attr=Детская обувь] [size]";"Размер обуви [size]";"Размер [size]";"Размер[prop attr=Леггинсы] [size]";"Окончание акции (дд.мм.гггг) ";"Год изготовления[prop attr=Шины] [prop attr=51] ";"Сложные характеристики"
157;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Turanza ER300 225/55/R16 99Y";;;;"1 800";;turanza-er300-225-55-r16-99y;no-img.jpg;1;1;;;;0;0;158;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Quatrac 3 225/55/R16 95V";;;;"1 800";;quatrac-3-225-55-r16-95v;no-img.jpg;1;1;;;;0;0;157;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Extreme UltraGrip (шип) 225/55/R16 95T";;;;"2 000";;extreme-ultragrip-ship-225-55-r16-95t;no-img.jpg;1;1;;;;0;0;156;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Winter Slalom KSI 225/70/R16 103S";;;;"2 500";;winter-slalom-ksi-225-70-r16-103s;no-img.jpg;1;1;;;;0;0;155;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Nordicca 4x4 MP91 225/70/R16  103T";;;;"1 800";;nordicca-4x4-mp91-225-70-r16-103t;no-img.jpg;1;1;;;;0;0;154;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Polaris 3 225/70/R16 103T";;;;"2 500";;polaris-3-225-70-r16-103t;no-img.jpg;1;1;;;;0;0;153;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;;"Шины по диаметру/R15";shiny-po-diametru/r15;"hydragrip 205/65/R15 94V";;;;"1 400";;hydragrip-205-65-r15-94v;no-img.jpg;1;1;;;;0;0;152;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;;"Шины по диаметру/R15";shiny-po-diametru/r15;"Eagle ultra grip 205/65/R15 94H";;;;"1 600";;eagle-ultra-grip-205-65-r15-94h;no-img.jpg;1;1;;;;0;0;151;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;CN149;"Шины по диаметру/R15";shiny-po-diametru/r15;"Pilot Alpin 205/65/R15 94H";;;;"1 300";;pilot-alpin-205-65-r15-94h;1544295859_2018-12-08_22-04-19.jpeg;1;1;"Pilot Alpin 205/65/R15 94H";"Pilot Alpin 205/65/R15 94H купить, CN149, Pilot, Alpin, 205/65/R15, 94H";;0;1;150;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2006;"Шипы[prop attr=Шины]=[type=assortmentCheckBox value=Нет##1## product_margin=Нет## activity=1 filter=1 description=]&Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=15##1## product_margin=15## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=H##1## product_margin=H## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value=94##1## product_margin=94## activity=1 filter=1 description=]&Сезон  [prop attr=Шины] [prop attr=27]=[type=assortmentCheckBox value=Всесезонные шины##1## product_margin=Всесезонные шины## activity=1 filter=1 description=]&Ширина[prop attr=Шины]=[type=assortmentCheckBox value=205##1## product_margin=205## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=65##1## product_margin=65## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Michelin##1## product_margin=Michelin## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=Испания##1## product_margin=Испания## activity=1 filter=1 description=]"
148;;"Шины по диаметру/R15";shiny-po-diametru/r15;"DW 510 205/65/R15 94Т";;;;"1 500";;dw-510-205-65-r15-94t;no-img.jpg;1;1;;;;0;0;149;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;;"Шины по диаметру/R15";shiny-po-diametru/r15;"Carat Progresso  205/65/R15 99H";;;;"1 400";;carat-progresso-205-65-r15-99h;no-img.jpg;1;1;;;;0;0;148;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;CN146;"Шины по диаметру/R15";shiny-po-diametru/r15;"Hi-Trac 205/65/R15 94H";;;;"1 400";;hi-trac-205-65-r15-94h;1544295948_2018-12-08_22-05-48.jpeg;1;1;"Hi-Trac 205/65/R15 94H";"Hi-Trac 205/65/R15 94H купить, CN146, Hi-Trac, 205/65/R15, 94H";;0;0;147;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2007;"Шипы[prop attr=Шины]=[type=assortmentCheckBox value=Нет##1## product_margin=Нет## activity=1 filter=1 description=]&Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=15##1## product_margin=15## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=H##1## product_margin=H## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value=94##1## product_margin=94## activity=1 filter=1 description=]&Сезон  [prop attr=Шины] [prop attr=27]=[type=assortmentCheckBox value=Всесезонные шины##1## product_margin=Всесезонные шины## activity=1 filter=1 description=]&Ширина[prop attr=Шины]=[type=assortmentCheckBox value=205##1## product_margin=205## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=65##1## product_margin=65## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Vredestein##1## product_margin=Vredestein## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=Голандия##1## product_margin=Голандия## activity=1 filter=1 description=]"
145;;"Шины по диаметру/R15";shiny-po-diametru/r15;"Alpin A4 205/65/R15 94H";;;;"1 800";;alpin-a4-205-65-r15-94h;no-img.jpg;1;1;;;;0;0;146;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;;"Шины по диаметру/R15";shiny-po-diametru/r15;"Winter Sport 5 205/65/R15 94H";;;;"2 000";;winter-sport-5-205-65-r15-94h;no-img.jpg;1;1;;;;0;0;145;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;;"Шины по диаметру/R15";shiny-po-diametru/r15;"SP Winter Sport 3D 205/65/R15 94H";;;;"1 800";;sp-winter-sport-3d-205-65-r15-94h;no-img.jpg;1;1;;;;0;0;144;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;;"Шины по диаметру/R15";shiny-po-diametru/r15;"Winter I*Pike EVO 205/65/R15 94H";;;;"1 500";;winter-ipike-evo-205-65-r15-94h;no-img.jpg;1;1;;;;0;0;143;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;;"Шины по диаметру/R15";shiny-po-diametru/r15;"Kinergy 4S 205/65/R15 94H";;;;"1 700";;kinergy-4s-205-65-r15-94h;no-img.jpg;1;0;;;;0;0;142;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;;"Шины по диаметру/R15";shiny-po-diametru/r15;"Winter I*Pike RS 205/65/R15 94T";;;;"1 500";;winter-ipike-rs-205-65-r15-94t;no-img.jpg;1;1;;;;0;0;140;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;;"Шины по диаметру/R15";shiny-po-diametru/r15;"Krisalp HP3 205/65/R15 94H";;;;"1 800";;krisalp-hp3-205-65-r15-94h;no-img.jpg;1;1;;;;0;0;139;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;;"Шины по диаметру/R15";shiny-po-diametru/r15;"Krisalp HP2 205/65/R15 94T";;;;"1 500";;krisalp-hp2-205-65-r15-94t;no-img.jpg;1;1;;;;0;0;138;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;CN137;"Шины по диаметру/R15";shiny-po-diametru/r15;"Dynapro HP 225/70/R15 100H";;;;"1 800";;dynapro-hp-225-70-r15-100h;24053184_images_2251104990_2018-12-08_21-01-35.jpg;1;1;"Dynapro HP 225/70/R15 100H";"Dynapro HP 225/70/R15 100H купить, CN137, Dynapro, HP 225/70/R15, 100H";;1;0;137;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2006;"Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Hankook##1## product_margin=Hankook## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=Корея##1## product_margin=Корея## activity=1 filter=1 description=]&Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=15##1## product_margin=15## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=H##1## product_margin=H## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value=100##1## product_margin=100## activity=1 filter=1 description=]&Ширина[prop attr=Шины]=[type=assortmentCheckBox value=225##1## product_margin=225## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=70##1## product_margin=70## activity=1 filter=1 description=]"
136;CN136;"Шины по диаметру/R15";shiny-po-diametru/r15;"Dueler A/T 225/70/R15 100S";;;;"2 000";;dueler-a-t-225-70-r15-100s;22204722_images_2187218356_2018-12-08_21-05-03.jpg;1;1;"Dueler A/T 225/70/R15 100S";"Dueler A/T 225/70/R15 100S купить, CN136, Dueler, A/T 225/70/R15, 100S";;1;0;136;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2004;"Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=15##1## product_margin=15## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=S##1## product_margin=S## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value=100##1## product_margin=100## activity=1 filter=1 description=]&Ширина[prop attr=Шины]=[type=assortmentCheckBox value=225##1## product_margin=225## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=70##1## product_margin=70## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Bridgestone##1## product_margin=Bridgestone## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=Япония##1## product_margin=Япония## activity=1 filter=1 description=]"
135;CN135;"Шины по диаметру/R15";shiny-po-diametru/r15;"Optimo 4S 205/70/R15 96T";;;;"1 400";;optimo-4s-205-70-r15-96t;37677424_images_3961240032_2018-12-08_20-10-25.jpg;1;1;"Optimo 4S 205/70/R15 96T";"Optimo 4S 205/70/R15 96T купить, CN135, Optimo, 4S 205/70/R15, 96T";;1;0;135;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016;"Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=15##1## product_margin=15## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value=96##1## product_margin=96## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=70##1## product_margin=70## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=Китай##1## product_margin=Китай## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=T##1## product_margin=T## activity=1 filter=1 description=]&Ширина[prop attr=Шины]=[type=assortmentCheckBox value=205##1## product_margin=205## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Hankook##1## product_margin=Hankook## activity=1 filter=1 description=]"
134;CN134;"Шины по диаметру/R15";shiny-po-diametru/r15;"Presa snow 205/70/R15 96T";;;;"1 400";;presa-snow-205-70-r15-96t;40735288_images_4577845416_2018-12-08_20-06-15.jpg;1;1;;;;0;1;134;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2009;"Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=70##1## product_margin=70## activity=1 filter=1 description=]&Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=15##1## product_margin=15## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Maxxis##1## product_margin=Maxxis## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=Китай##1## product_margin=Китай## activity=1 filter=1 description=]&Ширина[prop attr=Шины]=[type=assortmentCheckBox value=205##1## product_margin=205## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value=96##1## product_margin=96## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=T##1## product_margin=T## activity=1 filter=1 description=]"
133;CN133;"Шины по диаметру/R15";shiny-po-diametru/r15;"Grand Trek SJ6 205/70/R15 95Q";;;;"1 900";;grandtrek-sj6-205-70-r15-95q;6419728_images_1411585390._S_2018-12-08_21-03-15.jpg;1;1;"Grand Trek SJ6 205/70/R15 95Q";"Grand Trek SJ6 205/70/R15 95Q купить, CN133, Grand, Trek, SJ6 205/70/R15, 95Q";;0;1;133;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2011;"Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=15##1## product_margin=15## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=Q##1## product_margin=Q## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value=95##1## product_margin=95## activity=1 filter=1 description=]&Ширина[prop attr=Шины]=[type=assortmentCheckBox value=205##1## product_margin=205## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=70##1## product_margin=70## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Dunlop##1## product_margin=Dunlop## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=Япония##1## product_margin=Япония## activity=1 filter=1 description=]"
132;CN132;"Шины по диаметру/R15";shiny-po-diametru/r15;"Optimo K715 205/70/R15 96T";;;;"1 700";;optimo-k715-205-70-r15-96t;31487759_images_2770575959_2018-12-08_20-44-49.jpg;1;1;"Optimo K715 205/70/R15 96T";"Optimo K715 205/70/R15 96T купить, CN132, Optimo, K715, 205/70/R15, 96T";;1;0;132;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2007;"Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=15##1## product_margin=15## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=T##1## product_margin=T## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value=96##1## product_margin=96## activity=1 filter=1 description=]&Ширина[prop attr=Шины]=[type=assortmentCheckBox value=205##1## product_margin=205## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=70##1## product_margin=70## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Hankook##1## product_margin=Hankook## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=Венгрия##1## product_margin=Венгрия## activity=1 filter=1 description=]"
131;CN131;"Шины по диаметру/R15";shiny-po-diametru/r15;"Polaris 3 205/70/R15 96T";;;;"1 800";;polaris-3-205-70-r15-96t;7882948_images_1495058596_2018-12-08_20-59-48.jpg;1;1;"Polaris 3 205/70/R15 96T";"Polaris 3 205/70/R15 96T купить, CN131, Polaris, 3 205/70/R15, 96T";;0;1;131;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013;"Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=15##1## product_margin=15## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=T##1## product_margin=T## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value=96##1## product_margin=96## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=70##1## product_margin=70## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Barum##1## product_margin=Barum## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=Португалия##1## product_margin=Португалия## activity=1 filter=1 description=]"
130;CN130;"Шины по диаметру/R15";shiny-po-diametru/r15;"Latitude alpin 205/70/R15 96T";;;;"2 200";;latitude-alpin-205-70-r15-96t;36311_53499_2018-12-08_21-06-37.jpg;1;1;"Latitude alpin 205/70/R15 96T";"Latitude alpin 205/70/R15 96T купить, CN130, Latitude, alpin, 205/70/R15, 96T";;1;0;130;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2008;"Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=15##1## product_margin=15## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=T##1## product_margin=T## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value=96##1## product_margin=96## activity=1 filter=1 description=]&Ширина[prop attr=Шины]=[type=assortmentCheckBox value=205##1## product_margin=205## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=70##1## product_margin=70## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Michelin##1## product_margin=Michelin## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=Франция##1## product_margin=Франция## activity=1 filter=1 description=]"
129;CN129;"Шины по диаметру/R15";shiny-po-diametru/r15;"4Х4 synchrone 205/70 R15 96H";;;;"2 000";;4h4-synchrone;Michelin__Latitude_Tour_HP_205_R15__96H__109508_2018-12-08_19-39-53.jpg;1;1;"4Х4 synchrone";"4Х4 synchrone купить, CN129, 4Х4 synchrone";;0;1;129;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2005;
